Object ID,Stop ID,Stop Code,Stop Name,Stop Description,Zone ID,Stop URL,Location Type,Parent Station,Stop Time Zone,Wheelchair Boarding,Stop Latitude,Stop Longitude,x,y
1,00000020,1001,Kennedy Rd S n/of First Gulf Blvd,,,,0,,,1,43.673257,-79.718469,-8874219.37589936,5415016.4007591
2,00000030,1002,Kennedy Rd s/of Steeles Ave,,,,0,,,1,43.675159,-79.721710,-8874580.16236902,5415309.13695316
3,00000060,1006,Rutherford Rd s/of Bramsteele Rd,,,,0,,,1,43.681968,-79.718981,-8874276.37147865,5416357.18397291
4,00000070,1008,Rutherford Rd S n/of Bramsteele Rd,,,,0,,,1,43.683807,-79.721458,-8874552.10985734,5416640.26480367
5,00000080,1009,Rutherford Rd S at Glidden Rd,,,,0,,,1,43.686334,-79.725066,-8874953.75058012,5417029.26496178
6,00000090,1010,Rutherford Rd S at Selby Rd,,,,0,,,1,43.689013,-79.728960,-8875387.22867727,5417441.6815217
7,00000100,1011,Rutherford Rd S opp Stafford Rd,,,,0,,,1,43.690237,-79.730618,-8875571.79639301,5417630.11537516
8,00000110,1012,Rutherford Rd S at Clarence St,,,,0,,,1,43.691459,-79.731882,-8875712.50422937,5417818.24516631
9,00000120,1013,Orenda Rd e/of Rutherford Rd S,,,,0,,,1,43.695114,-79.732760,-8875810.24274229,5418380.96394354
10,00000130,1014,Orenda Rd btwn Rutherford Rd S & Heart Lake Rd,,,,0,,,1,43.695702,-79.729801,-8875480.84836903,5418471.4948181
11,00000140,1015,Orenda Rd opp Heart Lake Rd,,,,0,,,1,43.696757,-79.727831,-8875261.54897217,5418633.92913974
12,00000150,1016,Orenda Rd opp Tilbury Crt,,,,0,,,1,43.697323,-79.725029,-8874949.63175896,5418721.07517645
13,00000160,1017,Orenda Rd at 237 Orenda Rd,,,,0,,,1,43.697068,-79.722670,-8874687.02908018,5418681.81316764
14,00000170,1018,Orenda Rd at Titan Rd,,,,0,,,1,43.698080,-79.720259,-8874418.63778788,5418837.63043718
15,00000180,1019,West Dr n/of Orenda Rd,,,,0,,,1,43.699876,-79.718366,-8874207.90999181,5419114.16637491
16,00000190,1020,West Dr s/of Clark Blvd ( 55 West Dr ),,,,0,,,1,43.702724,-79.723127,-8874737.90208748,5419552.69914368
17,00000200,1021,Clark Blvd e/of West Dr,,,,0,,,1,43.704702,-79.726936,-8875161.91802791,5419857.28226523
18,00000210,1022,Clark Blvd at 185 Clark Blvd,,,,0,,,1,43.706436,-79.725026,-8874949.29780049,5420124.3012161
19,00000220,1023,Clark Blvd at Terese Rd,,,,0,,,1,43.709230,-79.724078,-8874843.76692322,5420554.56599543
20,00000222,1024,Queen St E btwn Torbram Rd & Gateway Blvd,,,,0,,,1,43.736170,-79.704012,-8872610.03002096,5424704.24729903
21,00000230,1025,Clark Blvd at Braemar Dr,,,,0,,,1,43.711451,-79.721512,-8874558.12110985,5420896.60538487
22,00000235,3615,Clark Blvd at Briar Path,,,,0,,,1,43.713219,-79.720048,-8874395.14937532,5421168.89073625
23,00000270,1028,Clark Blvd at Lisa St,,,,0,,,1,43.709748,-79.724024,-8874837.75567072,5420634.33811907
24,00000280,1029,Clark Blvd opp 185 Clark Blvd,,,,0,,,1,43.705847,-79.726028,-8875060.83993027,5420033.60014107
25,00000290,1030,Clark Blvd at West Dr,,,,0,,,1,43.704774,-79.727214,-8875192.86484635,5419868.36940361
26,00000300,1031,West Dr s/of Clark Blvd,,,,0,,,1,43.703897,-79.726877,-8875155.35017795,5419733.32280536
27,00000308,3667,West Dr at 60 West Dr,,,,0,,,1,43.703243,-79.724485,-8874889.07395597,5419632.61659388
28,00000310,1032,West Dr at Norpak Whse,,,,0,,,1,43.701521,-79.721492,-8874555.89472003,5419367.4596218
29,00000320,1033,West Dr s/of Orenda Rd,,,,0,,,1,43.699126,-79.717846,-8874150.0238566,5418998.68543816
30,00000330,1034,Glidden Rd w/of West Dr,,,,0,,,1,43.694830,-79.713756,-8873694.72713926,5418337.23846489
31,00000340,1035,Glidden Rd at Blair Dr,,,,0,,,1,43.693625,-79.715444,-8873882.63443971,5418151.71540984
32,00000350,1036,Glidden Rd at Heart Lake Rd,,,,0,,,1,43.691648,-79.718268,-8874197.00068171,5417847.34250574
33,00000360,1037,Glidden Rd w/of Heart Lake Rd,,,,0,,,1,43.689773,-79.720893,-8874489.21434505,5417558.68248141
34,00000365,4223,Hale Rd s/of Glidden Rd,,,,0,,,1,43.687312,-79.722975,-8874720.98152487,5417179.82027219
35,00000370,1038,Glidden Rd at Hale Rd,,,,0,,,1,43.688501,-79.722687,-8874688.92151153,5417362.86065832
36,00000371,3760,Hale Rd btwn Glidden Rd & Bramsteele Ave,,,,0,,,1,43.686027,-79.721239,-8874527.73088886,5416982.00526319
37,00000372,3761,Hale Rd n/of Bramsteele Ave,,,,0,,,0,43.684192,-79.718177,-8874186.87060805,5416699.52969764
38,00000373,3762,Bramsteele Ave e/of Rutherford Rd,,,,0,,,1,43.683237,-79.718494,-8874222.15888663,5416552.52267203
39,00000410,1043,Rutherford Rd S at Steeles Ave E,,,,0,,,1,43.680933,-79.717993,-8874166.38782175,5416197.86823495
40,00000420,1044,First Gulf Blvd n/of Biscayne Cres (N),,,,0,,,0,43.679438,-79.715877,-8873930.83577923,5415967.7503543
41,00000430,1045,First Gulf Blvd at Biscayne Cres S,,,,0,,,0,43.677124,-79.713402,-8873655.32003951,5415611.57920113
42,00000440,1046,First Gulf Blvd btwn Biscayne Cres (S) and Kennedy,,,,0,,,1,43.674483,-79.715878,-8873930.94709872,5415205.09295285
43,00000460,1047,Hereford St s/of Steeles Ave,,,,0,,,1,43.622217,-79.780921,-8881171.50073838,5407164.31318104
44,00000461,3695,Heritage - Zum Steeles Station Stop EB,,,,0,,,1,43.617924,-79.785976,-8881734.22076434,5406504.17420075
45,00000466,3692,Heritage - Zum Steeles Station Stop WB,,,,0,,,1,43.617184,-79.787371,-8881889.511454,5406390.38840989
46,00000468,3693,Winston Churchill - Zum Steeles Station Stop WB,,,,0,,,1,43.606798,-79.796938,-8882954.50502242,5404793.53718064
47,00000469,3694,Winston Churchill - Zum Steeles Station Stop EB,,,,0,,,1,43.608098,-79.796937,-8882954.39370293,5404993.39755009
48,00000470,1048,Mississauga Road - Zum Steeles Station Stop EB,,,,0,,,1,43.627820,-79.775184,-8880532.8608197,5408025.96310903
49,00000475,6196,Argentia - Zum Steeles Stop WB,,,,0,,,1,43.596036,-79.785959,-8881732.328333,5403139.16665805
50,00000477,3712,Argentia - Zum Steeles Stop EB,,,,0,,,1,43.595031,-79.786301,-8881770.39959885,5402984.68981358
51,00000510,1052,Steeles Ave W at Churchville Rd,,,,0,,,0,43.639747,-79.762015,-8879066.89444544,5409860.4084971
52,00000520,1053,Steeles Ave W at Clementine Dr,,,,0,,,0,43.643685,-79.757659,-8878581.98674355,5410466.17689333
53,00000530,1054,Steeles Ave W btwn Mavis Rd & Windmill Blvd,,,,0,,,1,43.649578,-79.751152,-8877857.63081695,5411372.75009547
54,00000535,3897,Steeles Ave btwn Clementine Dr and Mavis Rd,,,,0,,,1,43.645282,-79.755836,-8878379.05131184,5410711.84898446
55,00000540,1055,Mavis - Zum Steeles Station Stop EB,,,,0,,,1,43.647339,-79.753535,-8878122.90516352,5411028.29410738
56,00000550,1056,Steeles Ave W at Windmill Blvd,,,,0,,,1,43.653268,-79.747021,-8877397.77000049,5411940.4612762
57,00000560,1057,Steeles Ave W at McLaughlin Rd S,,,,0,,,1,43.656006,-79.743870,-8877047.002285,5412361.72859382
58,00000610,1060,Steeles Ave E btwn Hurontario St & Hartford Tr,,,,0,,,1,43.670455,-79.728063,-8875287.37509403,5414585.16276234
59,00000620,1061,Steeles Ave E at Hartford Trail,,,,0,,,1,43.673000,-79.725318,-8874981.8030918,5414976.8466852
60,00000670,1064,Steeles Ave E btwn Tomken Rd & Dixie Rd,,,,0,,,1,43.692357,-79.704090,-8872618.71294124,5417956.49683436
61,00000680,1065,Steeles Ave w/of Dixie Rd,,,,0,,,1,43.694267,-79.701943,-8872379.70999451,5418250.55793452
62,00000700,1067,Steeles Ave e/of Advance Blvd,,,,0,,,1,43.698744,-79.696521,-8871776.13571543,5418939.86770295
63,00000730,1070,Steeles Ave E at Melanie Dr (W),,,,0,,,1,43.710072,-79.684310,-8870416.81341336,5420684.23454687
64,00000740,1071,Steeles Ave E at Melanie Dr (E),,,,0,,,1,43.712018,-79.682116,-8870172.57845055,5420983.92679172
65,00000760,1073,Steeles Ave opp Pearson Convention Centre,,,,0,,,1,43.721796,-79.671021,-8868937.4887002,5422489.92753175
66,00000780,1075,Steeles Ave E opp Parkhurst Sq,,,,0,,,1,43.726459,-79.665664,-8868341.15018802,5423208.20609571
67,00000790,1076,Steeles Ave E at 3389 Steeles Ave E,,,,0,,,1,43.730908,-79.660502,-8867766.51897654,5423893.57268247
68,00000800,1077,Steeles Ave E at Goreway Dr,,,,0,,,1,43.732727,-79.658420,-8867534.75179672,5424173.80353359
69,00000810,1078,Goreway Dr s/of Steeles Ave E,,,,0,,,0,43.732258,-79.657241,-8867403.50611707,5424101.54968506
70,00000830,1082,Kenview Blvd e/of Goreway Dr,,,,0,,,0,43.730828,-79.653569,-8866994.74094688,5423881.24826648
71,00000840,1083,Kenview Blvd at 5 Kenview Blvd,,,,0,,,0,43.732225,-79.652079,-8866828.87490559,5424096.46574688
72,00000850,1084,Kenview Blvd at 11 Kenview Blvd,,,,0,,,0,43.734576,-79.651319,-8866744.27209259,5424458.66483739
73,00000900,1085,Kenview Blvd e/of Castleview Dr (19 Kenview Blvd),,,,0,,,0,43.736900,-79.650600,-8866664.23337871,5424816.71823746
74,00000910,1086,Kenview Blvd at Parkshore Dr,,,,0,,,1,43.738431,-79.645311,-8866075.4645919,5425052.60352204
75,00000920,1087,Finch Ave n/of Kenview Blvd,,,,0,,,0,43.740512,-79.644078,-8865938.20765976,5425373.23845576
76,00000930,1088,Finch Ave s/of Steeles Ave,,,,0,,,1,43.742650,-79.646979,-8866261.14550255,5425702.66740433
77,00000940,1090,Albion Rd s/of Steeles Ave,,,,0,,,1,43.749300,-79.638861,-8865357.45387629,5426727.39299431
78,00000941,3724,Steeles Ave w/of Hwy 50,,,,0,,,1,43.749510,-79.639531,-8865432.03793512,5426759.75460411
79,00000942,8075,Steeles Ave w/of Alcide St,,,,0,,,0,43.751105,-79.634970,-8864924.30973761,5427005.55244201
80,00000943,8076,Steeles Ave w/of Signal Hill Ave,,,,0,,,0,43.752864,-79.625318,-8863849.85401247,5427276.63113283
81,00000944,8077,Signal Hill Ave n/of Steinway Blvd,,,,0,,,0,43.750762,-79.624097,-8863713.93291422,5426952.69379611
82,00000945,8078,Steinway Blvd n/of Albion Rd,,,,0,,,0,43.748725,-79.628429,-8864196.16894834,5426638.78440568
83,00000946,8086,Steinway Blvd w/of Signal Hill Ave,,,,0,,,0,43.750248,-79.625537,-8863874.23298096,5426873.48344779
84,00000950,8000,Albion Rd w/of Claireport Cres (W),,,,0,,,0,43.747400,-79.635698,-8865005.35032691,5426434.60263783
85,00000960,8001,Albion Rd w/of Claireport Cres (E),,,,0,,,0,43.747577,-79.632698,-8864671.39185453,5426461.87797847
86,00000970,8002,Albion Rd at Steinway Blvd,,,,0,,,0,43.748005,-79.629141,-8864275.42842578,5426527.8322428
87,00000980,8003,Humberline Dr n/of Claireville Dr (N),,,,0,,,1,43.746027,-79.622141,-8863496.19199022,5426223.02886478
88,00001090,6000,Longo Circle - Zum Steeles Stop,,,,0,,,1,43.733379,-79.633303,-8864738.74014646,5424274.25118849
89,00001100,6001,Finch Ave n/of Longo Circle,,,,0,,,1,43.735845,-79.637104,-8865161.86553097,5424654.17506205
90,00001110,1099,Kenview Blvd w/of Finch Ave,,,,0,,,1,43.739552,-79.644298,-8865962.69794773,5425225.32282968
91,00001115,3670,Kenview Blvd w/of Parkshore Dr,,,,0,,,1,43.738496,-79.645548,-8866101.84731122,5425062.6183802
92,00001120,1100,Kenview Blvd at 26 Kenview Blvd,,,,0,,,1,43.738123,-79.648884,-8866473.20913251,5425005.14864965
93,00001130,1101,Kenview Blvd at 14 Kenview Blvd,,,,0,,,1,43.735587,-79.651223,-8866733.58542147,5424614.42560282
94,00001140,1102,Kenview Blvd at Paget Rd,,,,0,,,1,43.734285,-79.651626,-8866778.44717626,5424413.83210742
95,00001150,1103,Kenview Blvd at Goreway Dr,,,,0,,,1,43.730642,-79.654162,-8867060.75340492,5423852.59406295
96,00001170,1105,Goreway Dr at Steeles Ave E,,,,0,,,1,43.732859,-79.657418,-8867423.20966694,5424194.1394736
97,00001180,1106,Steeles Ave E at Parkhurst Sq,,,,0,,,1,43.727176,-79.665411,-8868312.98635685,5423318.65620448
98,00001230,1111,Steeles Ave E w/of Melanie Dr (E),,,,0,,,1,43.711750,-79.682953,-8870265.75286434,5420942.65307847
99,00001235,1112,Steeles Ave E w/of Melanie Dr (W),,,,0,,,1,43.710007,-79.684932,-8870486.05413662,5420674.22443943
100,00001260,1115,Steeles Ave w/of Advance Blvd,,,,0,,,1,43.698202,-79.697824,-8871921.18501193,5418856.41491015
101,00001280,1117,Steeles Ave E btwn Dixie Rd & West Dr,,,,0,,,1,43.692759,-79.704133,-8872623.49967935,5418018.38745007
